month,material_id,material_name,uom,base_demand,upside_demand,downside_demand,synthetic_flag
2026-01,M001,Silicon Wafer,wafer,3370,4044,2864,True
2026-02,M001,Silicon Wafer,wafer,3894,4673,3310,True
2026-03,M001,Silicon Wafer,wafer,3721,4465,3163,True
2026-04,M001,Silicon Wafer,wafer,3817,4580,3244,True
2026-05,M001,Silicon Wafer,wafer,3913,4696,3326,True
2026-06,M001,Silicon Wafer,wafer,3793,4552,3224,True
2026-07,M001,Silicon Wafer,wafer,3568,4282,3033,True
2026-08,M001,Silicon Wafer,wafer,3432,4118,2917,True
2026-09,M001,Silicon Wafer,wafer,3389,4067,2881,True
2026-10,M001,Silicon Wafer,wafer,3503,4204,2978,True
2026-11,M001,Silicon Wafer,wafer,3408,4090,2897,True
2026-12,M001,Silicon Wafer,wafer,3526,4231,2997,True
2026-01,M002,Photoresist,liter,2830,3396,2406,True
2026-02,M002,Photoresist,liter,2921,3505,2483,True
2026-03,M002,Photoresist,liter,2956,3547,2513,True
2026-04,M002,Photoresist,liter,3123,3748,2655,True
2026-05,M002,Photoresist,liter,3023,3628,2570,True
2026-06,M002,Photoresist,liter,3000,3600,2550,True
2026-07,M002,Photoresist,liter,2851,3421,2423,True
2026-08,M002,Photoresist,liter,2804,3365,2383,True
2026-09,M002,Photoresist,liter,2621,3145,2228,True
2026-10,M002,Photoresist,liter,2779,3335,2362,True
2026-11,M002,Photoresist,liter,2764,3317,2349,True
2026-12,M002,Photoresist,liter,2875,3450,2444,True
2026-01,M003,Process Gas,cylinder,791,949,672,True
2026-02,M003,Process Gas,cylinder,747,896,635,True
2026-03,M003,Process Gas,cylinder,841,1009,715,True
2026-04,M003,Process Gas,cylinder,866,1039,736,True
2026-05,M003,Process Gas,cylinder,862,1034,733,True
2026-06,M003,Process Gas,cylinder,794,953,675,True
2026-07,M003,Process Gas,cylinder,808,970,687,True
2026-08,M003,Process Gas,cylinder,735,882,625,True
2026-09,M003,Process Gas,cylinder,740,888,629,True
2026-10,M003,Process Gas,cylinder,732,878,622,True
2026-11,M003,Process Gas,cylinder,769,923,654,True
2026-12,M003,Process Gas,cylinder,808,970,687,True
2026-01,M004,CMP Slurry,liter,6078,7294,5166,True
2026-02,M004,CMP Slurry,liter,6318,7582,5370,True
