po_id,month,supplier_id,material_id,ordered_qty,unit_price,currency,promised_lead_time_days,actual_lead_time_days,delivered_on_time,quality_incident,synthetic_flag
PO00001,2026-01,S001,M001,1758,149.3403,SGD,43,39,1,0,True
PO00002,2026-01,S003,M001,1038,718.2919,CNY,56,62,0,0,True
PO00003,2026-01,S002,M001,560,109.8331,EUR,41,39,1,0,True
PO00004,2026-02,S001,M001,2106,150.9334,SGD,43,32,1,0,True
PO00005,2026-02,S003,M001,1190,735.3715,CNY,56,56,1,0,True
PO00006,2026-02,S002,M001,672,110.2434,EUR,41,37,1,0,True
PO00007,2026-03,S001,M001,1909,145.172,SGD,43,41,1,0,True
PO00008,2026-03,S003,M001,1201,726.6584,CNY,56,63,0,0,True
PO00009,2026-03,S002,M001,658,110.5319,EUR,41,42,1,0,True
PO00010,2026-04,S001,M001,1892,145.2943,SGD,43,43,1,0,True
PO00011,2026-04,S003,M001,1167,741.72,CNY,56,57,1,0,True
PO00012,2026-04,S002,M001,647,115.2375,EUR,41,44,0,0,True
PO00013,2026-05,S001,M001,2066,149.3229,SGD,43,49,0,0,True
PO00014,2026-05,S003,M001,1183,731.1822,CNY,56,53,1,0,True
PO00015,2026-05,S002,M001,684,112.3959,EUR,41,41,1,0,True
PO00016,2026-06,S001,M001,1983,150.6137,SGD,43,43,1,0,True
PO00017,2026-06,S003,M001,1232,752.3259,CNY,56,53,1,0,True
PO00018,2026-06,S002,M001,633,114.6746,EUR,41,45,0,0,True
PO00019,2026-07,S001,M001,1914,146.3884,SGD,43,44,1,0,True
PO00020,2026-07,S003,M001,1128,712.0964,CNY,56,59,0,1,True
PO00021,2026-07,S002,M001,591,111.6053,EUR,41,42,1,0,True
PO00022,2026-08,S001,M001,1795,146.3098,SGD,43,39,1,0,True
PO00023,2026-08,S003,M001,1114,723.4849,CNY,56,60,0,0,True
PO00024,2026-08,S002,M001,568,114.672,EUR,41,30,1,0,True
PO00025,2026-09,S001,M001,1825,153.1439,SGD,43,43,1,1,True
PO00026,2026-09,S003,M001,1047,725.7051,CNY,56,58,1,0,True
PO00027,2026-09,S002,M001,553,108.8406,EUR,41,41,1,1,True
PO00028,2026-10,S001,M001,1861,148.5931,SGD,43,48,0,0,True
PO00029,2026-10,S003,M001,1096,714.5818,CNY,56,52,1,1,True
PO00030,2026-10,S002,M001,566,111.362,EUR,41,47,0,1,True
PO00031,2026-11,S001,M001,1756,150.6085,SGD,43,41,1,0,True
PO00032,2026-11,S003,M001,1057,719.7708,CNY,56,53,1,0,True
PO00033,2026-11,S002,M001,570,113.7389,EUR,41,40,1,0,True
PO00034,2026-12,S001,M001,1819,143.5424,SGD,43,49,0,0,True
PO00035,2026-12,S003,M001,1053,696.1914,CNY,56,48,1,0,True
PO00036,2026-12,S002,M001,602,108.9638,EUR,41,52,0,0,True
PO00037,2026-01,S004,M002,1542,376.5434,CNY,59,58,1,0,True
PO00038,2026-01,S006,M002,897,79708.3379,KRW,51,46,1,0,True
PO00039,2026-01,S005,M002,491,9032.5493,JPY,40,29,1,0,True
PO00040,2026-02,S004,M002,1585,375.4411,CNY,59,63,0,0,True
PO00041,2026-02,S006,M002,901,79073.4552,KRW,51,49,1,0,True
PO00042,2026-02,S005,M002,484,9074.3392,JPY,40,39,1,0,True
PO00043,2026-03,S004,M002,1538,383.6444,CNY,59,69,0,0,True
PO00044,2026-03,S006,M002,933,76474.5297,KRW,51,53,1,0,True
PO00045,2026-03,S005,M002,490,9130.811,JPY,40,46,0,0,True
PO00046,2026-04,S004,M002,1610,389.4368,CNY,59,70,0,0,True
PO00047,2026-04,S006,M002,985,78156.0058,KRW,51,43,1,0,True
PO00048,2026-04,S005,M002,549,8913.5307,JPY,40,41,1,1,True
PO00049,2026-05,S004,M002,1625,384.6559,CNY,59,52,1,0,True
PO00050,2026-05,S006,M002,919,78257.9869,KRW,51,51,1,0,True
PO00051,2026-05,S005,M002,538,9141.709,JPY,40,47,0,0,True
PO00052,2026-06,S004,M002,1511,369.7756,CNY,59,49,1,0,True
PO00053,2026-06,S006,M002,969,80813.9415,KRW,51,53,1,0,True
PO00054,2026-06,S005,M002,529,9506.7521,JPY,40,45,0,0,True
PO00055,2026-07,S004,M002,1516,395.4538,CNY,59,63,0,0,True
PO00056,2026-07,S006,M002,905,82393.338,KRW,51,44,1,0,True
PO00057,2026-07,S005,M002,476,9351.995,JPY,40,45,0,0,True
PO00058,2026-08,S004,M002,1392,366.6746,CNY,59,71,0,0,True
PO00059,2026-08,S006,M002,874,79272.2775,KRW,51,65,0,0,True
PO00060,2026-08,S005,M002,474,9337.0867,JPY,40,36,1,0,True
PO00061,2026-09,S004,M002,1368,380.4481,CNY,59,59,1,0,True
PO00062,2026-09,S006,M002,808,80326.9233,KRW,51,48,1,0,True
PO00063,2026-09,S005,M002,455,9476.0344,JPY,40,41,1,0,True
PO00064,2026-10,S004,M002,1451,399.3593,CNY,59,71,0,0,True
PO00065,2026-10,S006,M002,820,77562.5185,KRW,51,51,1,0,True
PO00066,2026-10,S005,M002,464,9002.2773,JPY,40,37,1,0,True
PO00067,2026-11,S004,M002,1503,383.3887,CNY,59,55,1,0,True
PO00068,2026-11,S006,M002,829,75342.719,KRW,51,51,1,1,True
PO00069,2026-11,S005,M002,469,8753.605,JPY,40,42,1,0,True
PO00070,2026-12,S004,M002,1551,364.6897,CNY,59,54,1,1,True
PO00071,2026-12,S006,M002,896,80404.6712,KRW,51,49,1,0,True
PO00072,2026-12,S005,M002,511,9105.5612,JPY,40,37,1,0,True
PO00073,2026-01,S008,M003,399,74.3692,USD,68,60,1,0,True
PO00074,2026-01,S007,M003,238,109114.0589,KRW,62,52,1,0,True
PO00075,2026-01,S009,M003,135,545.4383,CNY,56,53,1,0,True
PO00076,2026-02,S008,M003,371,73.3562,USD,68,64,1,0,True
PO00077,2026-02,S007,M003,230,104221.3925,KRW,62,64,1,0,True
PO00078,2026-02,S009,M003,123,569.1474,CNY,56,60,0,1,True
PO00079,2026-03,S008,M003,450,70.7403,USD,68,73,0,0,True
PO00080,2026-03,S007,M003,268,104247.8399,KRW,62,60,1,0,True
PO00081,2026-03,S009,M003,145,548.071,CNY,56,51,1,0,True
PO00082,2026-04,S008,M003,442,68.9139,USD,68,69,1,0,True
PO00083,2026-04,S007,M003,272,99740.9675,KRW,62,78,0,0,True
PO00084,2026-04,S009,M003,147,548.4096,CNY,56,70,0,0,True
PO00085,2026-05,S008,M003,468,69.8314,USD,68,65,1,0,True
PO00086,2026-05,S007,M003,265,104371.3591,KRW,62,65,1,0,True
PO00087,2026-05,S009,M003,144,522.9508,CNY,56,55,1,0,True
PO00088,2026-06,S008,M003,400,72.8241,USD,68,67,1,0,True
PO00089,2026-06,S007,M003,246,106551.9973,KRW,62,72,0,0,True
PO00090,2026-06,S009,M003,136,553.4983,CNY,56,58,1,0,True
PO00091,2026-07,S008,M003,403,74.0894,USD,68,75,0,0,True
PO00092,2026-07,S007,M003,240,101786.8834,KRW,62,59,1,0,True
PO00093,2026-07,S009,M003,143,557.6171,CNY,56,61,0,0,True
PO00094,2026-08,S008,M003,387,70.5399,USD,68,68,1,1,True
PO00095,2026-08,S007,M003,237,102936.4827,KRW,62,56,1,0,True
PO00096,2026-08,S009,M003,123,535.2867,CNY,56,63,0,0,True
PO00097,2026-09,S008,M003,401,71.089,USD,68,61,1,0,True
PO00098,2026-09,S007,M003,221,103728.9296,KRW,62,77,0,0,True
PO00099,2026-09,S009,M003,121,523.7553,CNY,56,49,1,0,True
PO00100,2026-10,S008,M003,367,72.0961,USD,68,77,0,0,True
PO00101,2026-10,S007,M003,238,108575.9944,KRW,62,61,1,0,True
PO00102,2026-10,S009,M003,126,535.7874,CNY,56,63,0,0,True
PO00103,2026-11,S008,M003,407,70.7804,USD,68,72,0,0,True
PO00104,2026-11,S007,M003,232,108608.5731,KRW,62,71,0,0,True
PO00105,2026-11,S009,M003,136,539.8393,CNY,56,58,1,0,True
PO00106,2026-12,S008,M003,403,71.4657,USD,68,67,1,1,True
PO00107,2026-12,S007,M003,251,106586.0182,KRW,62,70,0,0,True
PO00108,2026-12,S009,M003,144,555.8241,CNY,56,55,1,0,True
PO00109,2026-01,S012,M004,3033,14.464,EUR,58,59,1,0,True
PO00110,2026-01,S011,M004,1940,21297.9246,KRW,24,28,0,0,True
PO00111,2026-01,S010,M004,1067,2426.5728,JPY,38,38,1,0,True
PO00112,2026-02,S012,M004,3312,14.0267,EUR,58,69,0,0,True
PO00113,2026-02,S011,M004,1990,21799.4586,KRW,24,27,0,0,True
PO00114,2026-02,S010,M004,1106,2432.2628,JPY,38,37,1,0,True
PO00115,2026-03,S012,M004,3649,13.2263,EUR,58,59,1,0,True
PO00116,2026-03,S011,M004,2174,22408.4695,KRW,24,27,0,0,True
PO00117,2026-03,S010,M004,1098,2420.2282,JPY,38,41,0,0,True
PO00118,2026-04,S012,M004,3404,13.6606,EUR,58,58,1,0,True
PO00119,2026-04,S011,M004,2062,21478.6575,KRW,24,28,0,0,True
PO00120,2026-04,S010,M004,1059,2477.4784,JPY,38,41,0,1,True
PO00121,2026-05,S012,M004,3376,14.188,EUR,58,60,1,0,True
PO00122,2026-05,S011,M004,1897,22134.7798,KRW,24,23,1,0,True
PO00123,2026-05,S010,M004,1130,2337.3582,JPY,38,35,1,1,True
PO00124,2026-06,S012,M004,3266,13.7687,EUR,58,65,0,0,True
PO00125,2026-06,S011,M004,1970,21141.6252,KRW,24,22,1,0,True
PO00126,2026-06,S010,M004,1128,2396.8939,JPY,38,33,1,0,True
PO00127,2026-07,S012,M004,3336,14.0874,EUR,58,58,1,0,True
PO00128,2026-07,S011,M004,1949,21532.4931,KRW,24,28,0,0,True
PO00129,2026-07,S010,M004,1012,2406.1375,JPY,38,41,0,0,True
PO00130,2026-08,S012,M004,3116,13.0569,EUR,58,56,1,1,True
PO00131,2026-08,S011,M004,1900,22428.7178,KRW,24,23,1,0,True
PO00132,2026-08,S010,M004,1065,2429.7507,JPY,38,27,1,0,True
PO00133,2026-09,S012,M004,3073,14.3238,EUR,58,54,1,0,True
PO00134,2026-09,S011,M004,1963,21770.4692,KRW,24,25,1,0,True
PO00135,2026-09,S010,M004,1015,2398.522,JPY,38,42,0,0,True
PO00136,2026-10,S012,M004,3048,13.3704,EUR,58,51,1,1,True
PO00137,2026-10,S011,M004,1793,21556.4019,KRW,24,25,1,0,True
PO00138,2026-10,S010,M004,945,2400.3856,JPY,38,38,1,0,True
PO00139,2026-11,S012,M004,3000,13.46,EUR,58,54,1,0,True
PO00140,2026-11,S011,M004,1883,21095.7415,KRW,24,28,0,0,True
PO00141,2026-11,S010,M004,984,2450.6887,JPY,38,40,0,0,True
PO00142,2026-12,S012,M004,3142,13.3519,EUR,58,53,1,0,True
PO00143,2026-12,S011,M004,1777,23098.2859,KRW,24,24,1,0,True
PO00144,2026-12,S010,M004,1067,2506.9921,JPY,38,36,1,0,True
PO00145,2026-01,S014,M005,57,1102.4361,EUR,61,54,1,0,True
PO00146,2026-01,S013,M005,34,8881.7218,CNY,54,61,0,0,True
PO00147,2026-01,S015,M005,19,1685.7984,SGD,61,65,0,0,True
PO00148,2026-02,S014,M005,59,1160.0532,EUR,61,57,1,0,True
PO00149,2026-02,S013,M005,34,8322.2613,CNY,54,53,1,0,True
PO00150,2026-02,S015,M005,19,1597.4889,SGD,61,57,1,0,True
PO00151,2026-03,S014,M005,61,1087.9817,EUR,61,60,1,0,True
PO00152,2026-03,S013,M005,35,8781.6382,CNY,54,55,1,0,True
PO00153,2026-03,S015,M005,20,1778.2048,SGD,61,63,1,0,True
PO00154,2026-04,S014,M005,54,1123.7522,EUR,61,56,1,0,True
PO00155,2026-04,S013,M005,35,8897.3127,CNY,54,57,0,0,True
PO00156,2026-04,S015,M005,18,1744.1268,SGD,61,57,1,0,True
PO00157,2026-05,S014,M005,57,1129.4672,EUR,61,65,0,0,True
PO00158,2026-05,S013,M005,33,8729.7922,CNY,54,50,1,0,True
PO00159,2026-05,S015,M005,19,1751.9523,SGD,61,59,1,0,True
PO00160,2026-06,S014,M005,63,1153.8137,EUR,61,64,1,0,True
PO00161,2026-06,S013,M005,36,8903.1936,CNY,54,46,1,0,True
PO00162,2026-06,S015,M005,19,1758.0805,SGD,61,65,0,0,True
PO00163,2026-07,S014,M005,59,1097.239,EUR,61,63,1,0,True
PO00164,2026-07,S013,M005,35,8915.1635,CNY,54,53,1,0,True
PO00165,2026-07,S015,M005,19,1693.3735,SGD,61,63,1,0,True
PO00166,2026-08,S014,M005,57,1097.6903,EUR,61,67,0,0,True
PO00167,2026-08,S013,M005,31,8477.8503,CNY,54,42,1,0,True
PO00168,2026-08,S015,M005,17,1828.9033,SGD,61,54,1,0,True
PO00169,2026-09,S014,M005,53,1106.5648,EUR,61,60,1,0,True
PO00170,2026-09,S013,M005,32,8289.66,CNY,54,54,1,0,True
PO00171,2026-09,S015,M005,16,1764.0656,SGD,61,64,1,0,True
PO00172,2026-10,S014,M005,52,1116.3445,EUR,61,59,1,0,True
PO00173,2026-10,S013,M005,32,8488.9456,CNY,54,57,0,0,True
PO00174,2026-10,S015,M005,17,1743.0672,SGD,61,54,1,0,True
PO00175,2026-11,S014,M005,50,1062.0801,EUR,61,57,1,0,True
PO00176,2026-11,S013,M005,32,8838.5195,CNY,54,43,1,0,True
PO00177,2026-11,S015,M005,17,1780.4863,SGD,61,66,0,0,True
PO00178,2026-12,S014,M005,51,1092.1555,EUR,61,65,0,0,True
PO00179,2026-12,S013,M005,32,8735.1071,CNY,54,53,1,0,True
PO00180,2026-12,S015,M005,17,1740.1217,SGD,61,57,1,0,True
PO00181,2026-01,S018,M006,91793,7199.1659,KRW,22,17,1,0,True
PO00182,2026-01,S017,M006,56064,842.0152,JPY,20,19,1,0,True
PO00183,2026-01,S016,M006,31185,6.311,EUR,30,29,1,0,True
PO00184,2026-02,S018,M006,97459,7591.3116,KRW,22,22,1,0,True
PO00185,2026-02,S017,M006,59600,790.5854,JPY,20,20,1,0,True
PO00186,2026-02,S016,M006,33132,6.2732,EUR,30,27,1,0,True
PO00187,2026-03,S018,M006,106884,7769.9935,KRW,22,21,1,0,True
PO00188,2026-03,S017,M006,62910,826.0507,JPY,20,22,0,0,True
PO00189,2026-03,S016,M006,33114,6.0301,EUR,30,32,0,0,True
PO00190,2026-04,S018,M006,102215,7260.2516,KRW,22,23,1,0,True
PO00191,2026-04,S017,M006,59432,819.3291,JPY,20,17,1,0,True
PO00192,2026-04,S016,M006,34035,6.3047,EUR,30,27,1,0,True
PO00193,2026-05,S018,M006,103092,7670.5104,KRW,22,21,1,0,True
PO00194,2026-05,S017,M006,62933,823.4502,JPY,20,25,0,0,True
PO00195,2026-05,S016,M006,34407,6.1676,EUR,30,30,1,0,True
PO00196,2026-06,S018,M006,93841,7601.9489,KRW,22,23,1,0,True
PO00197,2026-06,S017,M006,60016,793.3696,JPY,20,20,1,0,True
PO00198,2026-06,S016,M006,32573,6.0649,EUR,30,24,1,0,True
PO00199,2026-07,S018,M006,95218,7678.411,KRW,22,22,1,0,True
PO00200,2026-07,S017,M006,61453,799.3599,JPY,20,16,1,0,True
PO00201,2026-07,S016,M006,31940,6.2854,EUR,30,28,1,0,True
PO00202,2026-08,S018,M006,90939,7682.8945,KRW,22,21,1,0,True
PO00203,2026-08,S017,M006,55068,827.6583,JPY,20,19,1,0,True
PO00204,2026-08,S016,M006,31010,6.2229,EUR,30,21,1,0,True
PO00205,2026-09,S018,M006,87476,7309.3775,KRW,22,23,1,1,True
PO00206,2026-09,S017,M006,56158,823.0032,JPY,20,19,1,0,True
PO00207,2026-09,S016,M006,29499,6.1334,EUR,30,29,1,0,True
PO00208,2026-10,S018,M006,94867,7427.6892,KRW,22,20,1,1,True
PO00209,2026-10,S017,M006,57655,797.6537,JPY,20,19,1,0,True
PO00210,2026-10,S016,M006,30633,6.1839,EUR,30,24,1,0,True
PO00211,2026-11,S018,M006,91724,7393.0391,KRW,22,25,0,0,True
PO00212,2026-11,S017,M006,51689,834.7839,JPY,20,20,1,0,True
PO00213,2026-11,S016,M006,29922,6.2421,EUR,30,32,0,0,True
PO00214,2026-12,S018,M006,94676,7473.51,KRW,22,25,0,1,True
PO00215,2026-12,S017,M006,58176,789.4616,JPY,20,19,1,0,True
PO00216,2026-12,S016,M006,31700,6.2439,EUR,30,28,1,0,True
PO00217,2026-01,S019,M007,119,9.562,EUR,65,71,0,0,True
PO00218,2026-01,S021,M007,72,14302.9333,KRW,46,46,1,0,True
PO00219,2026-01,S020,M007,39,72.166,CNY,38,39,1,0,True
PO00220,2026-02,S019,M007,113,9.6007,EUR,65,73,0,0,True
PO00221,2026-02,S021,M007,64,14247.5184,KRW,46,54,0,0,True
PO00222,2026-02,S020,M007,36,74.6547,CNY,38,43,0,0,True
PO00223,2026-03,S019,M007,111,9.7891,EUR,65,58,1,0,True
PO00224,2026-03,S021,M007,70,14129.6094,KRW,46,45,1,0,True
PO00225,2026-03,S020,M007,39,74.0225,CNY,38,33,1,0,True
PO00226,2026-04,S019,M007,119,9.7281,EUR,65,74,0,0,True
PO00227,2026-04,S021,M007,70,14207.127,KRW,46,40,1,0,True
PO00228,2026-04,S020,M007,41,74.2868,CNY,38,39,1,0,True
PO00229,2026-05,S019,M007,117,9.5878,EUR,65,65,1,0,True
PO00230,2026-05,S021,M007,73,13454.4145,KRW,46,40,1,0,True
PO00231,2026-05,S020,M007,40,76.8801,CNY,38,37,1,0,True
PO00232,2026-06,S019,M007,119,9.2788,EUR,65,48,1,0,True
PO00233,2026-06,S021,M007,70,14119.2492,KRW,46,50,0,0,True
PO00234,2026-06,S020,M007,37,75.9294,CNY,38,37,1,0,True
PO00235,2026-07,S019,M007,107,8.9003,EUR,65,63,1,0,True
PO00236,2026-07,S021,M007,60,14087.0653,KRW,46,44,1,0,True
PO00237,2026-07,S020,M007,36,72.8501,CNY,38,41,0,0,True
PO00238,2026-08,S019,M007,104,9.643,EUR,65,63,1,0,True
PO00239,2026-08,S021,M007,63,13985.9649,KRW,46,51,0,0,True
PO00240,2026-08,S020,M007,34,74.2821,CNY,38,35,1,0,True
PO00241,2026-09,S019,M007,107,9.5575,EUR,65,66,1,0,True
PO00242,2026-09,S021,M007,63,14155.1922,KRW,46,49,0,1,True
PO00243,2026-09,S020,M007,35,72.4278,CNY,38,40,0,1,True
PO00244,2026-10,S019,M007,97,9.2009,EUR,65,59,1,0,True
PO00245,2026-10,S021,M007,57,14131.1673,KRW,46,42,1,0,True
PO00246,2026-10,S020,M007,33,72.6689,CNY,38,42,0,0,True
PO00247,2026-11,S019,M007,97,9.5579,EUR,65,64,1,1,True
PO00248,2026-11,S021,M007,56,13290.4798,KRW,46,47,1,0,True
PO00249,2026-11,S020,M007,32,73.5069,CNY,38,38,1,0,True
PO00250,2026-12,S019,M007,105,9.5586,EUR,65,73,0,0,True
PO00251,2026-12,S021,M007,67,14669.0375,KRW,46,44,1,0,True
