supplier_id,material_id,currency,unit_price,freight_per_unit,discount_threshold_qty,discount_rate,quote_valid_from,quote_valid_to,synthetic_flag
S001,M001,SGD,148.3342,1.4743,2728,0.0434,2026-01-01,2026-12-31,True
S002,M001,EUR,112.1083,1.6138,4047,0.0379,2026-01-01,2026-12-31,True
S003,M001,CNY,723.2894,10.5457,2925,0.015,2026-01-01,2026-12-31,True
S004,M002,CNY,383.4254,6.2609,2978,0.0215,2026-01-01,2026-12-31,True
S005,M002,JPY,9144.7791,123.9712,2732,0.0531,2026-01-01,2026-12-31,True
S006,M002,KRW,78266.9554,1038.6997,2705,0.0461,2026-01-01,2026-12-31,True
S007,M003,KRW,104545.4844,2544.2867,528,0.0489,2026-01-01,2026-12-31,True
S008,M003,USD,72.237,1.4064,916,0.0168,2026-01-01,2026-12-31,True
S009,M003,CNY,541.4398,8.3427,399,0.0289,2026-01-01,2026-12-31,True
S010,M004,JPY,2410.8664,54.0535,3711,0.0565,2026-01-01,2026-12-31,True
S011,M004,KRW,21748.0035,342.1672,6578,0.0332,2026-01-01,2026-12-31,True
S012,M004,EUR,13.7238,0.3408,5235,0.0134,2026-01-01,2026-12-31,True
S013,M005,CNY,8676.862,75.3472,120,0.0269,2026-01-01,2026-12-31,True
S014,M005,EUR,1110.9947,16.7958,95,0.0148,2026-01-01,2026-12-31,True
S015,M005,SGD,1759.0002,35.9614,114,0.0354,2026-01-01,2026-12-31,True
S016,M006,EUR,6.1629,0.1066,205404,0.042,2026-01-01,2026-12-31,True
S017,M006,JPY,802.4521,9.6582,156702,0.0118,2026-01-01,2026-12-31,True
S018,M006,KRW,7606.7349,138.6293,116972,0.0349,2026-01-01,2026-12-31,True
S019,M007,EUR,9.4711,0.1313,112,0.0209,2026-01-01,2026-12-31,True
S020,M007,CNY,74.7444,1.5087,192,0.014,2026-01-01,2026-12-31,True
S021,M007,KRW,14241.07,126.3469,233,0.0192,2026-01-01,2026-12-31,True
S022,M008,KRW,30652.3325,202.9043,3889,0.0466,2026-01-01,2026-12-31,True
S023,M008,EUR,22.4259,0.5091,5708,0.0104,2026-01-01,2026-12-31,True
S024,M008,JPY,3175.2188,30.5306,3223,0.0403,2026-01-01,2026-12-31,True
