文件,大小(Bytes)
.gitignore,93
README.md,4947
assets/EDAIP_需求增长.png,51667
assets/MonteCarlo_缺口严重度.png,44149
assets/基准情景_采购成本.png,46268
assets/采购决策看板_预览.png,245211
data/README.md,340
data/demand_forecast.csv,5135
data/eda_ip_resource_master.csv,452
data/eda_ip_team_demand.csv,231
data/procurement_history.csv,17062
data/quotation.csv,1822
data/risk_events.csv,413
data/supplier_master.csv,2504
docs/GitHub发布说明.md,981
docs/快速结果.md,815
docs/数据与项目边界.md,872
docs/数据字典.md,892
docs/模型方法与参数.md,1171
docs/版本记录.md,343
docs/项目复现指南.md,771
model/半导体采购成本_需求_供应风险决策模型.xlsx,286172
outputs/README.md,238
outputs/eda_ip_scenario_summary.csv,589
outputs/material_summary.csv,801
outputs/monte_carlo_detail.csv,139688
outputs/monte_carlo_strategy_summary.csv,586
outputs/pipeline_console.txt,5774
outputs/scenario_allocation_detail.csv,22044
outputs/scenario_strategy_summary.csv,1532
outputs/supplier_metrics.csv,4456
report/半导体采购成本_需求_供应风险分析报告.docx,455503
requirements.txt,24
src/00_generate_synthetic_data.py,7278
src/01_validate_data.py,2328
src/02_compute_metrics.py,3149
src/03_run_scenarios.py,3969
src/04_monte_carlo.py,3676
src/05_eda_ip_extension.py,1454
src/README.md,481
src/allocation.py,2567
src/run_all.py,490
