simulation,strategy,annual_cost_cny,avg_material_shortage_rate,max_material_shortage_rate,any_material_shortage,cost_weighted_risk
1,Lowest Cost,169709571.09394008,0.0461315185431197,0.28039241465364206,1,39.409851546120855
1,Balanced,171706029.72366226,0.02950309291775717,0.23602474334205736,1,34.864145394132116
1,Resilience,175456438.96771526,0.015734982889470492,0.12587986311576393,1,30.669617656151896
2,Lowest Cost,176307772.3795617,0.1230982424687779,0.5695141415647307,1,38.417679208791945
2,Balanced,179078664.88560498,0.04591000142415336,0.1907052180439497,1,34.1177845612405
2,Resilience,183095435.477977,0.027558847629256103,0.22047078103404882,1,30.779627855161806
3,Lowest Cost,162379408.29638365,0.0,0.0,0,39.558399769985854
3,Balanced,163627317.2763905,0.0,0.0,0,34.33190783419164
3,Resilience,166574590.0800875,0.0,0.0,0,30.66949661360756
4,Lowest Cost,201584140.2982449,0.06642169922571811,0.5313735938057449,1,37.881290423406774
4,Balanced,202308341.10693073,0.060805594777335395,0.48644475821868316,1,36.38794496436486
4,Resilience,210312419.71178424,0.0,0.0,0,30.439673241514384
5,Lowest Cost,162604927.1825387,0.0,0.0,0,39.48433187836588
5,Balanced,164672592.0989096,0.0,0.0,0,34.491705510605584
5,Resilience,168044318.56863737,0.0,0.0,0,30.68494800452097
6,Lowest Cost,202548176.08068478,0.05271110806966267,0.23564696135950314,1,38.4231540905535
6,Balanced,204999174.50770694,0.08328966197024858,0.5447345841798513,1,34.831094988453756
6,Resilience,209643064.81590348,0.054473458417985135,0.4357876673438811,1,30.69206563664338
7,Lowest Cost,128513146.79124123,0.0,0.0,0,38.58991365343258
7,Balanced,129949330.6026541,0.0,0.0,0,35.87470774866432
7,Resilience,134544151.90151832,0.0,0.0,0,30.44374733604769
8,Lowest Cost,159039572.10514006,0.0,0.0,0,39.679574345435626
8,Balanced,161315229.71871945,0.0,0.0,0,34.33092046973667
8,Resilience,164600896.2519903,0.0,0.0,0,30.684916208002974
9,Lowest Cost,152543801.00485823,0.07871718416366652,0.6297374733093322,1,39.672450569241704
9,Balanced,155442314.2552401,0.06425076644420351,0.5140061315536281,1,33.642597358415
9,Resilience,158787282.49895796,0.023771450881753003,0.19017160705402403,1,30.68125811114638
10,Lowest Cost,161245710.53843865,0.0,0.0,0,39.77652185994751
10,Balanced,162938440.23758534,0.0,0.0,0,34.314785071982385
10,Resilience,165978502.64639854,0.047601467297738204,0.38081173838190563,1,30.66954726378475
11,Lowest Cost,189556550.64082953,0.0,0.0,0,37.28272984665089
11,Balanced,191573698.5981842,0.0,0.0,0,34.28479277335862
11,Resilience,196084720.6319929,0.0,0.0,0,30.736209732363154
12,Lowest Cost,173652486.88530168,0.0,0.0,0,38.34813319192731
12,Balanced,175614717.57239282,0.0,0.0,0,35.828097712662355
12,Resilience,182338068.87873194,0.036914958330615935,0.2953196666449275,1,30.4414289826883
13,Lowest Cost,158345535.66744834,0.0,0.0,0,39.644599210796635
13,Balanced,159954470.41259807,0.0,0.0,0,34.31785275148374
13,Resilience,162920356.84116915,0.0,0.0,0,30.669538194122797
14,Lowest Cost,147904336.86807704,0.0,0.0,0,38.30896929714114
14,Balanced,149525281.17511114,0.0,0.0,0,35.88221198250394
14,Resilience,154741582.12922642,0.0,0.0,0,30.44414140922279
15,Lowest Cost,148109057.98496118,0.0,0.0,0,40.08330864988267
15,Balanced,149907942.4126106,0.0,0.0,0,34.48037530332043
15,Resilience,152844126.0232188,0.0,0.0,0,30.669573275116097
16,Lowest Cost,170702111.77717125,0.0,0.0,0,38.365782122781255
16,Balanced,173628470.0219105,0.0,0.0,0,34.19183929689365
16,Resilience,177718819.11091676,0.01918538830957149,0.15348310647657193,1,30.68089945355012
17,Lowest Cost,145690552.7590943,0.07033863117391108,0.5627090493912886,1,39.44349696528838
17,Balanced,148078528.41636056,0.052753973380433306,0.42203178704346644,1,34.474399968487354
17,Resilience,151371401.2723768,0.04220317870434663,0.33762542963477304,1,30.68230692351839
18,Lowest Cost,172395510.5487936,0.03965287931148208,0.288282056961253,1,39.28161877175198
18,Balanced,174418193.50719512,0.03408689462094071,0.14097393972198258,1,34.58024090711131
18,Resilience,178099539.40797743,0.05321579276646525,0.21497239453885297,1,30.684686989066346
19,Lowest Cost,166821910.09063885,0.04717524670780844,0.3774019736624675,1,38.34132668860732
19,Balanced,168487069.46170703,0.037430530269644935,0.2994442421571595,1,35.95910399728138
19,Resilience,174659633.77179042,0.0,0.0,0,30.44262079987318
20,Lowest Cost,160427422.74211437,0.07744979587676151,0.6195983670140921,1,38.101322515048516
20,Balanced,163154810.38888615,0.020911696335206093,0.16729357068164874,1,33.660823762232646
20,Resilience,166739417.7556948,0.0,0.0,0,30.68052152179946
21,Lowest Cost,167287272.2517927,0.0,0.0,0,39.26586532569807
21,Balanced,168925433.18569753,0.0,0.0,0,34.90713562100289
21,Resilience,172639614.59997773,0.0,0.0,0,30.669619920093933
22,Lowest Cost,156853007.39770854,0.0,0.0,0,37.91858649868797
22,Balanced,158445608.84025946,0.0,0.0,0,35.83316883419735
22,Resilience,164460353.77342284,0.0,0.0,0,30.441699892455464
23,Lowest Cost,179651559.10259652,0.0,0.0,0,39.6614316310675
23,Balanced,180399151.39819148,0.0,0.0,0,35.21938668521577
23,Resilience,183350257.43344992,0.0,0.0,0,31.412520288095024
24,Lowest Cost,184959025.98437315,0.0,0.0,0,38.29633343124524
24,Balanced,186997627.14010566,0.0,0.0,0,34.45526107801682
24,Resilience,190892395.34268612,0.0,0.0,0,30.684660082836775
25,Lowest Cost,202196553.68770286,0.0,0.0,0,37.21484846776899
25,Balanced,202558994.73344532,0.0,0.0,0,36.354405818554255
25,Resilience,209639563.51322246,0.04549849842314396,0.3639879873851517,1,30.44330169050923
26,Lowest Cost,169794887.50053436,0.0,0.0,0,38.79156446054359
26,Balanced,172373038.5328646,0.0,0.0,0,34.40042439811905
26,Resilience,176150268.819273,0.0,0.0,0,30.6823478191548
27,Lowest Cost,152582842.468234,0.08176729861156228,0.6541383888924982,1,39.64460160517066
27,Balanced,154494034.37475306,0.021997705319394198,0.17598164255515358,1,34.47154069343356
27,Resilience,157710038.94888157,0.0,0.0,0,30.684288500570485
28,Lowest Cost,181592184.9622907,0.0,0.0,0,37.76296493006948
28,Balanced,182823479.46249625,0.0,0.0,0,35.936811361034344
28,Resilience,189814206.27240825,0.0,0.0,0,30.739382870805148
29,Lowest Cost,192468884.93617827,0.0049143982847279916,0.03931518627782393,1,37.420640492507765
29,Balanced,193779722.88706934,0.0,0.0,0,35.9925857900661
29,Resilience,200581881.05954096,0.0,0.0,0,30.443919509359777
30,Lowest Cost,151446041.6302049,0.02795778809866331,0.2236623047893065,1,39.61719803045124
30,Balanced,153792132.38549444,0.00989621310406573,0.07916970483252583,1,34.404827520975815
30,Resilience,157080464.8720112,0.01583394096650516,0.12667152773204127,1,30.683406892143996
31,Lowest Cost,185521755.33511427,0.016304496157659235,0.13043596926127388,1,37.726319214380815
31,Balanced,186722604.05690855,0.0,0.0,0,35.799787023544845
31,Resilience,194204800.83747786,0.0,0.0,0,30.439933393798643
32,Lowest Cost,179072248.8609732,0.10341102759802659,0.6922555641387372,1,37.12643842314807
32,Balanced,181744042.64912447,0.09466336832605404,0.5191916731040529,1,35.741645814862714
32,Resilience,190124162.4084841,0.015116899373539938,0.1209351949883195,1,30.434932807128256
33,Lowest Cost,160616445.17310056,0.0,0.0,0,39.144209297658364
33,Balanced,162563522.00513694,0.0,0.0,0,34.76757278895669
33,Resilience,166176120.80345502,0.01555830355632376,0.12446642845059008,1,30.68381563277997
34,Lowest Cost,137532168.35110193,0.0,0.0,0,39.94217453644379
34,Balanced,139562302.51879063,0.0180476827682389,0.1443814621459112,1,34.42856030328661
34,Resilience,142477711.31120458,0.06399188076225915,0.28092470666461533,1,30.68442096622471
35,Lowest Cost,172436170.2164207,0.07263192515560767,0.5559267869774878,1,38.04442863526744
35,Balanced,173922831.0126132,0.06453487697269433,0.437645511019638,1,36.16134337496303
35,Resilience,180274665.5371777,0.04461640887938359,0.23111766341600215,1,30.462393019646584
36,Lowest Cost,168037559.3639832,0.06959853946517615,0.5349995817203199,1,38.7370264630146
36,Balanced,169935319.65765923,0.07283781230060261,0.409240065775345,1,35.49227732426202
36,Resilience,173994212.4551264,0.056173368836901286,0.32739205262027593,1,30.75138927791387
37,Lowest Cost,142659512.48525548,0.04511795424868219,0.3609436339894575,1,39.37791985890716
37,Balanced,144926845.19563702,0.04774730475008174,0.2707077254920931,1,34.483170705341784
37,Resilience,148127830.9779491,0.049324915050921486,0.2165661803936746,1,30.68261427741232
38,Lowest Cost,157806013.7972817,0.0,0.0,0,38.12773498945189
38,Balanced,160009067.68472323,0.0,0.0,0,34.61087571525013
38,Resilience,163690017.2897507,0.0,0.0,0,30.68177278463272
39,Lowest Cost,176778815.35579622,0.0,0.0,0,38.68840081687865
39,Balanced,179306111.06105304,0.0,0.0,0,34.59806160616079
39,Resilience,183391445.47793776,0.0,0.0,0,30.6822916024553
40,Lowest Cost,160520713.86338773,0.0,0.0,0,38.54914907886339
40,Balanced,162175557.41116196,0.0,0.0,0,35.89325987980001
40,Resilience,167293962.2904903,0.0,0.0,0,30.68040921379259
41,Lowest Cost,135100424.26831847,0.0,0.0,0,39.60122404367708
41,Balanced,136464341.71940738,0.0,0.0,0,34.359503640955
41,Resilience,138989873.89490837,0.0,0.0,0,30.669531972459602
42,Lowest Cost,149652677.75948295,0.17690744849817,0.7428529058996192,1,38.553767864270014
42,Balanced,151244579.7842744,0.04543807907462449,0.18571322647490485,1,35.88740975812824
42,Resilience,156040452.69636467,0.03555828122441823,0.28446624979534585,1,30.72023479798615
43,Lowest Cost,128048670.91430832,0.0,0.0,0,35.79365930896666
43,Balanced,128752007.2093025,0.0,0.0,0,35.15109293044774
43,Resilience,130839785.88412787,0.0,0.0,0,31.4124258470074
44,Lowest Cost,146961115.70094073,0.0,0.0,0,37.730673463680226
44,Balanced,148227940.75415298,0.0,0.0,0,35.88180606999647
44,Resilience,153402773.96358734,0.020065118429388268,0.16052094743510614,1,30.444120084146736
45,Lowest Cost,147956670.55971935,0.0,0.0,0,38.04984875762369
45,Balanced,149291145.8042763,0.0,0.0,0,35.81007247963238
45,Resilience,155175951.2962298,0.0,0.0,0,30.44047827099033
46,Lowest Cost,155360291.78618902,0.0,0.0,0,39.67933320956364
46,Balanced,157445847.12961587,0.0,0.0,0,34.59398447496595
46,Resilience,160874892.6430594,0.0,0.0,0,30.683707653152624
47,Lowest Cost,180626372.68736765,0.0,0.0,0,38.24259865907132
47,Balanced,182687365.26364022,0.0,0.0,0,34.81585638202937
47,Resilience,186765625.15837494,0.0,0.0,0,30.682132929210344
48,Lowest Cost,190072041.11802933,0.04164653074275983,0.3331722459420786,1,37.99864542383592
48,Balanced,191084554.3144214,0.014637186241262645,0.11709748993010116,1,35.867782788106865
48,Resilience,197918638.20433217,0.02437273462507014,0.19498187700056113,1,30.443059647439988
49,Lowest Cost,170304261.47100422,0.0,0.0,0,37.332199100030714
49,Balanced,172243739.3305438,0.0,0.0,0,35.958419565762625
49,Resilience,179205405.7851022,0.0,0.0,0,30.43956508938166
50,Lowest Cost,138686761.07676214,0.06172146983165559,0.47001072377420194,1,39.72044934221742
50,Balanced,141252039.8080383,0.043549673843081824,0.23089470980110416,1,33.644451774556316
50,Resilience,144271033.24226105,0.023089470980110396,0.18471576784088317,1,30.68149395663746
51,Lowest Cost,191250674.4555395,0.053075792361634885,0.4246063388930791,1,38.95194737477287
51,Balanced,193323195.60441908,0.053075792361634885,0.4246063388930791,1,34.92511140802722
51,Resilience,197654937.57832742,0.032691810251315664,0.2615344820105253,1,30.6833675755704
52,Lowest Cost,167694303.85949746,0.0,0.0,0,37.75418088430006
52,Balanced,168864492.00387803,0.0,0.0,0,35.85616181444871
52,Resilience,175050208.18000513,0.0,0.0,0,30.442690481201627
53,Lowest Cost,177317820.85954064,0.16112689659161183,0.49247213878172735,1,38.8699289585333
53,Balanced,180394385.31235027,0.0497371673095658,0.17596021985952726,1,34.33073474735788
53,Resilience,184709477.0744221,0.02546441293829478,0.20371530350635825,1,30.680553439906816
54,Lowest Cost,185426987.02725214,0.0,0.0,0,37.574573605655516
54,Balanced,186313615.89091638,0.0,0.0,0,35.987676688174226
54,Resilience,192868661.28903934,0.0,0.0,0,30.443931555361363
55,Lowest Cost,171006077.04159197,0.0001755698773427683,0.0014045590187421464,1,38.27498994761679
55,Balanced,172826030.03195754,0.025402780807936495,0.20322224646349196,1,35.86731609855827
55,Resilience,179017398.49418303,0.020322224646349196,0.16257779717079357,1,30.443359526736003
56,Lowest Cost,175437262.9435086,0.0,0.0,0,38.01633933645744
56,Balanced,177423777.76409537,0.0,0.0,0,35.81916824022666
56,Resilience,184315500.62001914,0.0,0.0,0,30.44095961446777
57,Lowest Cost,134343281.6781929,0.05708674875473364,0.45669399003786915,1,40.14307343882156
57,Balanced,136411574.75897533,0.04876581110988659,0.39012648887909274,1,34.32514789036287
57,Resilience,139232193.82420936,0.026008432591939523,0.20806746073551619,1,30.6842873792061
58,Lowest Cost,149822633.26050663,0.0,0.0,0,39.44973476040586
58,Balanced,152322661.56648606,0.0,0.0,0,34.30388985372532
58,Resilience,155645768.53931928,0.0,0.0,0,30.68197494339802
59,Lowest Cost,203202564.3716378,0.0,0.0,0,37.53488020137323
59,Balanced,204535438.24481225,0.0,0.0,0,35.57805207494832
59,Resilience,209586031.01685342,0.0,0.0,0,30.881443759488437
60,Lowest Cost,131585004.20928766,0.001102065399082225,0.0088165231926578,1,40.059107665814
60,Balanced,133160712.56223601,0.016527848840553153,0.13222279072442522,1,34.96921773279364
60,Resilience,135968131.78813025,0.03966683721732757,0.31733469773862055,1,30.66959079369258
61,Lowest Cost,151637870.6320316,0.0,0.0,0,39.38003979602912
61,Balanced,153737381.45145208,0.019012892228622222,0.15210313782897777,1,34.71397481765528
61,Resilience,157167454.52988663,0.030420627565795555,0.24336502052636444,1,30.683444551777107
62,Lowest Cost,153070977.98852378,0.06515662175671752,0.43503046178145266,1,38.3881688559118
62,Balanced,154830455.1370025,0.10084922834712277,0.32627284633608944,1,35.82772145457523
62,Resilience,160760851.28966162,0.06327879081905882,0.29379328854178355,1,30.441412846610604
63,Lowest Cost,185397010.14263475,0.04171033879473232,0.2858797015418201,1,38.21041357356137
63,Balanced,187181095.6449842,0.026879366232476734,0.21503492985981387,1,35.86774646004515
63,Resilience,193672061.3759691,0.05739647405104305,0.28714384852049335,1,30.649397420459238
64,Lowest Cost,182591598.70644417,0.0,0.0,0,39.411654225283456
