scenario,strategy,material_id,supplier_id,allocated_qty,material_demand_qty,material_coverage,landed_cost_cny,risk_score_0to100,shortage_qty_material
Base,Lowest Cost,M001,S003,43056.0,43334.0,1.0,733.8351,59.59656707543664,0.0
Base,Lowest Cost,M001,S001,278.0,43334.0,1.0,801.475475,35.152492202464444,0.0
Base,Lowest Cost,M002,S004,32388.0,34547.0,1.0,389.6863,38.91739679357335,0.0
Base,Lowest Cost,M002,S006,2159.0,34547.0,1.0,412.38940652,37.74976480052073,0.0
Base,Lowest Cost,M003,S008,7332.0,9493.0,1.0,526.55031,60.00535406437535,0.0
Base,Lowest Cost,M003,S009,2161.0,9493.0,1.0,549.7825,15.847725177304966,0.0
Base,Lowest Cost,M004,S012,67872.0,74707.0,1.0,109.00065000000001,41.39304266855257,0.0
Base,Lowest Cost,M004,S011,6835.0,74707.0,1.0,114.86888763999998,45.1956041742507,0.0
Base,Lowest Cost,M005,S014,816.0,1294.0,1.0,8740.376375,58.26184313725491,0.0
Base,Lowest Cost,M005,S013,478.0,1294.0,1.0,8752.2092,30.77325730685878,0.0
Base,Lowest Cost,M006,S017,2220421.0,2220421.0,1.0,39.793404699999996,28.494507059383896,0.0
Base,Lowest Cost,M007,S019,2196.0,2521.0,1.0,74.4186,43.1579635701275,0.0
Base,Lowest Cost,M007,S021,325.0,2521.0,1.0,74.71056788,40.53446651874609,0.0
Base,Lowest Cost,M008,S024,55836.0,64797.0,1.0,157.0817206,54.44287857296368,0.0
Base,Lowest Cost,M008,S022,8961.0,64797.0,1.0,160.44723136,26.090065018315023,0.0
Base,Balanced,M001,S001,30528.0,43334.0,1.0,801.475475,35.152492202464444,0.0
Base,Balanced,M001,S003,12806.0,43334.0,1.0,733.8351,59.59656707543664,0.0
Base,Balanced,M002,S004,25910.25,34547.0,1.0,389.6863,38.91739679357335,0.0
Base,Balanced,M002,S006,8636.75,34547.0,1.0,412.38940652,37.74976480052073,0.0
Base,Balanced,M003,S009,7119.75,9493.0,1.0,549.7825,15.847725177304966,0.0
Base,Balanced,M003,S008,2373.25,9493.0,1.0,526.55031,60.00535406437535,0.0
Base,Balanced,M004,S012,56030.25,74707.0,1.0,109.00065000000001,41.39304266855257,0.0
Base,Balanced,M004,S010,18676.75,74707.0,1.0,120.7810751,42.342353750990725,0.0
Base,Balanced,M005,S013,970.5,1294.0,1.0,8752.2092,30.77325730685878,0.0
Base,Balanced,M005,S014,323.5,1294.0,1.0,8740.376375,58.26184313725491,0.0
Base,Balanced,M006,S017,1665315.75,2220421.0,1.0,39.793404699999996,28.494507059383896,0.0
Base,Balanced,M006,S018,555105.25,2220421.0,1.0,40.275893839999995,31.7068326988035,0.0
Base,Balanced,M007,S021,1890.75,2521.0,1.0,74.71056788,40.53446651874609,0.0
Base,Balanced,M007,S019,630.25,2521.0,1.0,74.4186,43.1579635701275,0.0
Base,Balanced,M008,S022,48597.75,64797.0,1.0,160.44723136,26.090065018315023,0.0
Base,Balanced,M008,S024,16199.25,64797.0,1.0,157.0817206,54.44287857296368,0.0
Base,Resilience,M001,S002,26000.399999999998,43334.0,1.0,881.346275,17.60280403276623,0.0
Base,Resilience,M001,S001,17333.600000000002,43334.0,1.0,801.475475,35.152492202464444,0.0
Base,Resilience,M002,S004,20728.2,34547.0,1.0,389.6863,38.91739679357335,0.0
Base,Resilience,M002,S006,13818.8,34547.0,1.0,412.38940652,37.74976480052073,0.0
Base,Resilience,M003,S009,5695.8,9493.0,1.0,549.7825,15.847725177304966,0.0
Base,Resilience,M003,S008,3797.2,9493.0,1.0,526.55031,60.00535406437535,0.0
Base,Resilience,M004,S012,44824.2,74707.0,1.0,109.00065000000001,41.39304266855257,0.0
Base,Resilience,M004,S010,29882.800000000003,74707.0,1.0,120.7810751,42.342353750990725,0.0
Base,Resilience,M005,S013,776.4,1294.0,1.0,8752.2092,30.77325730685878,0.0
Base,Resilience,M005,S014,517.6,1294.0,1.0,8740.376375,58.26184313725491,0.0
Base,Resilience,M006,S017,1332252.5999999999,2220421.0,1.0,39.793404699999996,28.494507059383896,0.0
Base,Resilience,M006,S018,888168.4000000001,2220421.0,1.0,40.275893839999995,31.7068326988035,0.0
Base,Resilience,M007,S021,1512.6,2521.0,1.0,74.71056788,40.53446651874609,0.0
Base,Resilience,M007,S020,1008.4000000000001,2521.0,1.0,76.2531,41.147429951690825,0.0
Base,Resilience,M008,S022,38878.2,64797.0,1.0,160.44723136,26.090065018315023,0.0
Base,Resilience,M008,S023,25918.800000000003,64797.0,1.0,177.74625,31.71008724168069,0.0
Demand Surge,Lowest Cost,M001,S003,43056.0,52000.799999999996,1.0,733.8351,59.59656707543664,0.0
Demand Surge,Lowest Cost,M001,S001,8944.799999999996,52000.799999999996,1.0,801.475475,35.152492202464444,0.0
Demand Surge,Lowest Cost,M002,S004,32388.0,41456.4,1.0,389.6863,38.91739679357335,0.0
Demand Surge,Lowest Cost,M002,S006,9068.400000000001,41456.4,1.0,412.38940652,37.74976480052073,0.0
Demand Surge,Lowest Cost,M003,S008,7332.0,11391.6,1.0,526.55031,60.00535406437535,0.0
Demand Surge,Lowest Cost,M003,S009,4059.6000000000004,11391.6,1.0,549.7825,15.847725177304966,0.0
Demand Surge,Lowest Cost,M004,S012,67872.0,89648.4,1.0,109.00065000000001,41.39304266855257,0.0
Demand Surge,Lowest Cost,M004,S011,21776.399999999994,89648.4,1.0,114.86888763999998,45.1956041742507,0.0
Demand Surge,Lowest Cost,M005,S014,816.0,1552.8,1.0,8740.376375,58.26184313725491,0.0
Demand Surge,Lowest Cost,M005,S013,736.8,1552.8,1.0,8752.2092,30.77325730685878,0.0
Demand Surge,Lowest Cost,M006,S017,2275836.0,2664505.1999999997,1.0,39.793404699999996,28.494507059383896,0.0
Demand Surge,Lowest Cost,M006,S018,388669.1999999997,2664505.1999999997,1.0,40.275893839999995,31.7068326988035,0.0
Demand Surge,Lowest Cost,M007,S019,2196.0,3025.2,1.0,74.4186,43.1579635701275,0.0
Demand Surge,Lowest Cost,M007,S021,829.1999999999998,3025.2,1.0,74.71056788,40.53446651874609,0.0
Demand Surge,Lowest Cost,M008,S024,55836.0,77756.4,1.0,157.0817206,54.44287857296368,0.0
Demand Surge,Lowest Cost,M008,S022,21920.399999999994,77756.4,1.0,160.44723136,26.090065018315023,0.0
Demand Surge,Balanced,M001,S001,30528.0,52000.799999999996,1.0,801.475475,35.152492202464444,0.0
Demand Surge,Balanced,M001,S003,21472.799999999996,52000.799999999996,1.0,733.8351,59.59656707543664,0.0
Demand Surge,Balanced,M002,S004,31092.300000000003,41456.4,1.0,389.6863,38.91739679357335,0.0
Demand Surge,Balanced,M002,S006,10364.099999999999,41456.4,1.0,412.38940652,37.74976480052073,0.0
Demand Surge,Balanced,M003,S009,8543.7,11391.6,1.0,549.7825,15.847725177304966,0.0
Demand Surge,Balanced,M003,S008,2847.8999999999996,11391.6,1.0,526.55031,60.00535406437535,0.0
Demand Surge,Balanced,M004,S012,67236.29999999999,89648.4,1.0,109.00065000000001,41.39304266855257,0.0
Demand Surge,Balanced,M004,S010,22412.100000000006,89648.4,1.0,120.7810751,42.342353750990725,0.0
Demand Surge,Balanced,M005,S013,1008.0,1552.8,1.0,8752.2092,30.77325730685878,0.0
Demand Surge,Balanced,M005,S014,544.8,1552.8,1.0,8740.376375,58.26184313725491,0.0
Demand Surge,Balanced,M006,S017,1998378.9,2664505.1999999997,1.0,39.793404699999996,28.494507059383896,0.0
Demand Surge,Balanced,M006,S018,666126.2999999998,2664505.1999999997,1.0,40.275893839999995,31.7068326988035,0.0
Demand Surge,Balanced,M007,S021,2268.0,3025.2,1.0,74.71056788,40.53446651874609,0.0
Demand Surge,Balanced,M007,S019,757.1999999999998,3025.2,1.0,74.4186,43.1579635701275,0.0
Demand Surge,Balanced,M008,S022,52416.0,77756.4,1.0,160.44723136,26.090065018315023,0.0
Demand Surge,Balanced,M008,S024,25340.399999999994,77756.4,1.0,157.0817206,54.44287857296368,0.0
Demand Surge,Resilience,M001,S002,31200.479999999996,52000.799999999996,1.0,881.346275,17.60280403276623,0.0
Demand Surge,Resilience,M001,S001,20800.32,52000.799999999996,1.0,801.475475,35.152492202464444,0.0
Demand Surge,Resilience,M002,S004,24873.84,41456.4,1.0,389.6863,38.91739679357335,0.0
Demand Surge,Resilience,M002,S006,16582.56,41456.4,1.0,412.38940652,37.74976480052073,0.0
Demand Surge,Resilience,M003,S009,6834.96,11391.6,1.0,549.7825,15.847725177304966,0.0
Demand Surge,Resilience,M003,S008,4556.64,11391.6,1.0,526.55031,60.00535406437535,0.0
Demand Surge,Resilience,M004,S012,53789.03999999999,89648.4,1.0,109.00065000000001,41.39304266855257,0.0
Demand Surge,Resilience,M004,S010,35859.36,89648.4,1.0,120.7810751,42.342353750990725,0.0
Demand Surge,Resilience,M005,S013,931.68,1552.8,1.0,8752.2092,30.77325730685878,0.0
Demand Surge,Resilience,M005,S014,621.12,1552.8,1.0,8740.376375,58.26184313725491,0.0
Demand Surge,Resilience,M006,S017,1598703.1199999999,2664505.1999999997,1.0,39.793404699999996,28.494507059383896,0.0
Demand Surge,Resilience,M006,S018,1065802.0799999998,2664505.1999999997,1.0,40.275893839999995,31.7068326988035,0.0
Demand Surge,Resilience,M007,S021,1815.12,3025.2,1.0,74.71056788,40.53446651874609,0.0
Demand Surge,Resilience,M007,S020,1210.08,3025.2,1.0,76.2531,41.147429951690825,0.0
Demand Surge,Resilience,M008,S022,46653.84,77756.4,1.0,160.44723136,26.090065018315023,0.0
Demand Surge,Resilience,M008,S023,31102.559999999998,77756.4,1.0,177.74625,31.71008724168069,0.0
Cost Pressure,Lowest Cost,M001,S003,43056.0,43334.0,1.0,807.2186100000001,59.59656707543664,0.0
Cost Pressure,Lowest Cost,M001,S001,278.0,43334.0,1.0,881.6230225,35.152492202464444,0.0
Cost Pressure,Lowest Cost,M002,S004,32388.0,34547.0,1.0,428.65493000000004,38.91739679357335,0.0
Cost Pressure,Lowest Cost,M002,S006,2159.0,34547.0,1.0,453.6283471720001,37.74976480052073,0.0
Cost Pressure,Lowest Cost,M003,S008,7332.0,9493.0,1.0,579.205341,60.00535406437535,0.0
Cost Pressure,Lowest Cost,M003,S009,2161.0,9493.0,1.0,604.76075,15.847725177304966,0.0
Cost Pressure,Lowest Cost,M004,S012,67872.0,74707.0,1.0,119.90071500000002,41.39304266855257,0.0
Cost Pressure,Lowest Cost,M004,S011,6835.0,74707.0,1.0,126.355776404,45.1956041742507,0.0
Cost Pressure,Lowest Cost,M005,S014,816.0,1294.0,1.0,9614.414012500001,58.26184313725491,0.0
Cost Pressure,Lowest Cost,M005,S013,478.0,1294.0,1.0,9627.43012,30.77325730685878,0.0
Cost Pressure,Lowest Cost,M006,S017,2220421.0,2220421.0,1.0,43.77274517,28.494507059383896,0.0
Cost Pressure,Lowest Cost,M007,S019,2196.0,2521.0,1.0,81.86046,43.1579635701275,0.0
Cost Pressure,Lowest Cost,M007,S021,325.0,2521.0,1.0,82.18162466800001,40.53446651874609,0.0
Cost Pressure,Lowest Cost,M008,S024,55836.0,64797.0,1.0,172.78989266000002,54.44287857296368,0.0
Cost Pressure,Lowest Cost,M008,S022,8961.0,64797.0,1.0,176.491954496,26.090065018315023,0.0
Cost Pressure,Balanced,M001,S001,30528.0,43334.0,1.0,881.6230225,35.152492202464444,0.0
Cost Pressure,Balanced,M001,S003,12806.0,43334.0,1.0,807.2186100000001,59.59656707543664,0.0
Cost Pressure,Balanced,M002,S004,25910.25,34547.0,1.0,428.65493000000004,38.91739679357335,0.0
Cost Pressure,Balanced,M002,S006,8636.75,34547.0,1.0,453.6283471720001,37.74976480052073,0.0
Cost Pressure,Balanced,M003,S009,7119.75,9493.0,1.0,604.76075,15.847725177304966,0.0
Cost Pressure,Balanced,M003,S008,2373.25,9493.0,1.0,579.205341,60.00535406437535,0.0
Cost Pressure,Balanced,M004,S012,56030.25,74707.0,1.0,119.90071500000002,41.39304266855257,0.0
Cost Pressure,Balanced,M004,S010,18676.75,74707.0,1.0,132.85918261,42.342353750990725,0.0
Cost Pressure,Balanced,M005,S013,970.5,1294.0,1.0,9627.43012,30.77325730685878,0.0
Cost Pressure,Balanced,M005,S014,323.5,1294.0,1.0,9614.414012500001,58.26184313725491,0.0
Cost Pressure,Balanced,M006,S017,1665315.75,2220421.0,1.0,43.77274517,28.494507059383896,0.0
Cost Pressure,Balanced,M006,S018,555105.25,2220421.0,1.0,44.303483224,31.7068326988035,0.0
Cost Pressure,Balanced,M007,S021,1890.75,2521.0,1.0,82.18162466800001,40.53446651874609,0.0
Cost Pressure,Balanced,M007,S019,630.25,2521.0,1.0,81.86046,43.1579635701275,0.0
Cost Pressure,Balanced,M008,S022,48597.75,64797.0,1.0,176.491954496,26.090065018315023,0.0
Cost Pressure,Balanced,M008,S024,16199.25,64797.0,1.0,172.78989266000002,54.44287857296368,0.0
Cost Pressure,Resilience,M001,S002,26000.399999999998,43334.0,1.0,969.4809025000001,17.60280403276623,0.0
Cost Pressure,Resilience,M001,S001,17333.600000000002,43334.0,1.0,881.6230225,35.152492202464444,0.0
Cost Pressure,Resilience,M002,S004,20728.2,34547.0,1.0,428.65493000000004,38.91739679357335,0.0
Cost Pressure,Resilience,M002,S006,13818.8,34547.0,1.0,453.6283471720001,37.74976480052073,0.0
Cost Pressure,Resilience,M003,S009,5695.8,9493.0,1.0,604.76075,15.847725177304966,0.0
Cost Pressure,Resilience,M003,S008,3797.2,9493.0,1.0,579.205341,60.00535406437535,0.0
Cost Pressure,Resilience,M004,S012,44824.2,74707.0,1.0,119.90071500000002,41.39304266855257,0.0
Cost Pressure,Resilience,M004,S010,29882.800000000003,74707.0,1.0,132.85918261,42.342353750990725,0.0
Cost Pressure,Resilience,M005,S013,776.4,1294.0,1.0,9627.43012,30.77325730685878,0.0
Cost Pressure,Resilience,M005,S014,517.6,1294.0,1.0,9614.414012500001,58.26184313725491,0.0
