scenario,strategy,annual_procurement_cost_cny,avg_material_coverage,avg_material_shortage_rate,materials_with_shortage,max_material_shortage_rate,cost_weighted_supply_risk_0to100,avg_supplier_concentration_hhi
Base,Lowest Cost,168632392.0287443,1.0,0.0,0,0.0,39.09624563374628,0.8029217776104862
Base,Balanced,171528206.67145282,1.0,0.0,0,0.0,33.84806625309004,0.6198281678438408
Base,Resilience,175350691.90903437,1.0,0.0,0,0.0,30.6813044957338,0.52
Demand Surge,Lowest Cost,203429293.712068,1.0,0.0,0,0.0,37.96600660338611,0.6245148441416434
Demand Surge,Balanced,205399148.76032928,1.0,0.0,0,0.0,34.690574556262035,0.5931226261487018
Demand Surge,Resilience,210420830.29084122,1.0,0.0,0,0.0,30.681304495733812,0.52
Cost Pressure,Lowest Cost,185495631.23161876,1.0,0.0,0,0.0,39.09624563374627,0.8029217776104862
Cost Pressure,Balanced,188681027.3385981,1.0,0.0,0,0.0,33.848066253090046,0.6198281678438408
Cost Pressure,Resilience,192885761.09993786,1.0,0.0,0,0.0,30.681304495733794,0.52
Supply Disruption,Lowest Cost,170274051.02185303,1.0,0.0,0,0.0,37.11859129394378,0.53723707155061
Supply Disruption,Balanced,171070363.346,1.0,0.0,0,0.0,35.64741674434964,0.5337524122877809
Supply Disruption,Resilience,175100421.6776521,1.0,0.0,0,0.0,31.10847929367143,0.5126834787580328
FX Shock,Lowest Cost,177654980.64849958,1.0,0.0,0,0.0,37.122345527319595,0.822056532115716
FX Shock,Balanced,180096187.07302338,1.0,0.0,0,0.0,35.70298554899805,0.6155280053539951
FX Shock,Resilience,188412265.4516601,1.0,0.0,0,0.0,30.434857874858455,0.52
