supplier_id,supplier_name,material_id,material_name,region,currency,landed_cost_cny,lead_time_days,monthly_capacity,annual_capacity,annual_demand,capacity_coverage,quality_ppm,otd_rate,hist_otd,quality_incident_rate,supply_risk_score_0to100,balanced_score
S003,Supplier_S003_CN,M001,Silicon Wafer,CN,CNY,733.8351,56,3588,43056,43334,0.9935847140813219,318,0.9234,0.6666666666666666,0.16666666666666666,59.59656707543664,0.2681845518394649
S001,Supplier_S001_SG,M001,Silicon Wafer,SG,SGD,801.475475,43,2544,30528,43334,0.7044814695158536,275,0.9937,0.75,0.08333333333333333,35.152492202464444,0.4103854550703524
S002,Supplier_S002_DE,M001,Silicon Wafer,DE,EUR,881.346275,41,2645,31740,43334,0.7324502699958462,179,0.9525,0.6666666666666666,0.16666666666666666,17.60280403276623,0.6292126181474481
S004,Supplier_S004_CN,M002,Photoresist,CN,CNY,389.6863,59,2699,32388,34547,0.9375054273887747,174,0.9801,0.5,0.08333333333333333,38.91739679357335,0.1751282855710801
S006,Supplier_S006_KR,M002,Photoresist,KR,KRW,412.38940652,51,2857,34284,34547,0.9923871826786697,99,0.8874,0.9166666666666666,0.08333333333333333,37.74976480052073,0.3635189681082859
S005,Supplier_S005_JP,M002,Photoresist,JP,JPY,454.1687647,40,2131,25572,34547,0.7402089906504182,296,0.901,0.6666666666666666,0.08333333333333333,51.48969810730486,0.781703641482872
S008,Supplier_S008_US,M003,Process Gas,US,USD,526.55031,68,611,7332,9493,0.7723585800063204,160,0.8971,0.6666666666666666,0.16666666666666666,60.00535406437535,0.27002409328968907
S009,Supplier_S009_CN,M003,Process Gas,CN,CNY,549.7825,56,752,9024,9493,0.9505951753923944,131,0.8836,0.5833333333333334,0.08333333333333333,15.847725177304966,0.49279166920764284
S007,Supplier_S007_KR,M003,Process Gas,KR,KRW,556.86680972,62,683,8196,9493,0.8633730116928263,158,0.9057,0.5833333333333334,0.0,54.22709994782989,0.7940219497652345
S012,Supplier_S012_DE,M004,CMP Slurry,DE,EUR,109.00065000000001,58,5656,67872,74707,0.9085092427751081,129,0.9807,0.8333333333333334,0.16666666666666666,41.39304266855257,0.18626869200848656
S011,Supplier_S011_KR,M004,CMP Slurry,KR,KRW,114.86888763999998,24,5494,65928,74707,0.882487584831408,229,0.9568,0.5,0.0,45.1956041742507,0.4773542625561131
S010,Supplier_S010_JP,M004,CMP Slurry,JP,JPY,120.7810751,38,4552,54624,74707,0.7311764627143373,188,0.9183,0.5833333333333334,0.16666666666666666,42.342353750990725,0.7405405918794583
S013,Supplier_S013_CN,M005,PVD Target,CN,CNY,8752.2092,54,84,1008,1294,0.7789799072642968,157,0.9318,0.75,0.0,30.77325730685878,0.14602375636874343
S014,Supplier_S014_DE,M005,PVD Target,DE,EUR,8740.376375,61,68,816,1294,0.6306027820710973,314,0.9798,0.75,0.0,58.26184313725491,0.2621782941176471
S015,Supplier_S015_SG,M005,PVD Target,SG,SGD,9603.044559999998,61,87,1044,1294,0.8068006182380216,43,0.897,0.75,0.0,47.45463601532567,0.7635458620689656
S017,Supplier_S017_JP,M006,Packaging Substrate,JP,JPY,39.793404699999996,20,189653,2275836,2220421,1.0249569788792305,161,0.9631,0.8333333333333334,0.0,28.494507059383896,0.12822528176722753
S018,Supplier_S018_KR,M006,Packaging Substrate,KR,KRW,40.275893839999995,22,122663,1471956,2220421,0.6629175278021601,176,0.9864,0.8333333333333334,0.25,31.7068326988035,0.17285270622561785
S016,Supplier_S016_DE,M006,Packaging Substrate,DE,EUR,48.588625,30,178448,2141376,2220421,0.9644008951455603,201,0.9731,0.8333333333333334,0.0,52.907131810574135,0.7880820931475837
S019,Supplier_S019_DE,M007,Lead Frame,DE,EUR,74.4186,65,183,2196,2521,0.8710829036096787,167,0.9161,0.6666666666666666,0.08333333333333333,43.1579635701275,0.19421083606557377
S021,Supplier_S021_KR,M007,Lead Frame,KR,KRW,74.71056788,46,189,2268,2521,0.899642998809996,203,0.9183,0.6666666666666666,0.08333333333333333,40.53446651874609,0.26993975945973236
S020,Supplier_S020_CN,M007,Lead Frame,CN,CNY,76.2531,38,138,1656,2521,0.6568821896072987,229,0.9038,0.5833333333333334,0.08333333333333333,41.147429951690825,0.7351634347826088
S022,Supplier_S022_KR,M008,Specialty Chemical,KR,KRW,160.44723136,20,4368,52416,64797,0.8089263391823696,92,0.9136,0.6666666666666666,0.0,26.090065018315023,0.2069805682719762
S024,Supplier_S024_JP,M008,Specialty Chemical,JP,JPY,157.0817206,56,4653,55836,64797,0.8617065604889115,259,0.9581,0.5,0.08333333333333333,54.44287857296368,0.2449929535783366
S023,Supplier_S023_DE,M008,Specialty Chemical,DE,EUR,177.74625,34,4145,49740,64797,0.7676281309319876,134,0.9422,0.5,0.08333333333333333,31.71008724168069,0.6926953925875632
